,Location,count,mean,std,min,25%,50%,75%,max,address
17,100 BLOCK SANTA CLARA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100 BLOCK SANTA CLARA
18,100 BLOCKCOMMONS,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,100 BLOCKCOMMONS
19,100 BLOCKE.27TH,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,100 BLOCKE.27TH
20,100 BLOCKE.28TH,1.0,80.0,,80.0,80.0,80.0,80.0,80.0,100 BLOCKE.28TH
21,100 BLOCKGRIMES,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100 BLOCKGRIMES
22,100 BLOCKN.POLK,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,100 BLOCKN.POLK
23,100 BLOCKPREMIER,2.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,100 BLOCKPREMIER
24,100 BLOCKSANTA CLARA,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,100 BLOCKSANTA CLARA
25,100 BLOCKW.17TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100 BLOCKW.17TH
26,100 BLOCKW.39TH,1.0,80.0,,80.0,80.0,80.0,80.0,80.0,100 BLOCKW.39TH
27,100 VALLEY RIVER,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 VALLEY RIVER
28,100 VALLEY RIVER CENTER,1.0,40.0,,40.0,40.0,40.0,40.0,40.0,100 VALLEY RIVER CENTER
29,100 VALLEY RIVER CNTR,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100 VALLEY RIVER CNTR
30,100 VALLEY RIVER CTR,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,100 VALLEY RIVER CTR
31,1000 BLK WEST 11TH,2.0,15.0,21.2132034356,0.0,7.5,15.0,22.5,30.0,1000 BLK WEST 11TH
32,1000 BLKCLARK,3.0,16.6666666667,28.8675134595,0.0,0.0,0.0,25.0,50.0,1000 BLKCLARK
33,1000 BLKHILYARD ST,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000 BLKHILYARD ST
34,1000 BLOCK HAYES,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000 BLOCK HAYES
35,1000 BLOCKCHESHIRE,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,1000 BLOCKCHESHIRE
36,1000 BLOCKCLARK,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,1000 BLOCKCLARK
37,1000 BLOCKE.27TH,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1000 BLOCKE.27TH
38,1000 BLOCKLEWIS,1.0,80.0,,80.0,80.0,80.0,80.0,80.0,1000 BLOCKLEWIS
39,1000 BLOCKW.24TH,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1000 BLOCKW.24TH
40,1000 BLOCKW.2ND,2.0,37.5,17.6776695297,25.0,31.25,37.5,43.75,50.0,1000 BLOCKW.2ND
41,1000 EAST 19TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000 EAST 19TH
42,1000 WILLAMETTE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000 WILLAMETTE
43,1000LEWIS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000LEWIS
44,1000VAN BUREN ST,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,1000VAN BUREN ST
45,1002W.2ND,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1002W.2ND
46,1009 ALDER ST. ALLEY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009 ALDER ST. ALLEY
47,100ALMADEN ST ALLEY,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,100ALMADEN ST ALLEY
48,101 WEST 5TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,101 WEST 5TH
49,1010 ALDER ALLEY,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010 ALDER ALLEY
50,1010 ALDER ST. ALLEY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010 ALDER ST. ALLEY
51,1010E. 18TH,4.0,25.0,28.8675134595,0.0,0.0,25.0,50.0,50.0,1010E. 18TH
52,1020E. 18TH,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020E. 18TH
53,1020ECHO HOLLOW,3.0,8.33333333333,14.4337567297,0.0,0.0,0.0,12.5,25.0,1020ECHO HOLLOW
54,1020W.3RD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020W.3RD
55,1023 ADAMS,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1023 ADAMS
56,1023W.4TH,1.0,80.0,,80.0,80.0,80.0,80.0,80.0,1023W.4TH
57,1025GRANT,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1025GRANT
58,1030 GREEN ACRES,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1030 GREEN ACRES
59,1037TYLER,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1037TYLER
60,1040 GREEN ACRE ROAD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1040 GREEN ACRE ROAD
61,1040 GREEN ACRES,7.0,54.2857142857,143.626499744,0.0,0.0,0.0,0.0,380.0,1040 GREEN ACRES
62,1040 GREEN ACRES (WALMART),1.0,380.0,,380.0,380.0,380.0,380.0,380.0,1040 GREEN ACRES (WALMART)
63,1040 GREEN ACRES RD.,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1040 GREEN ACRES RD.
64,1040 GREENACRES,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040 GREENACRES
65,1040 GREENACRES (HOME DEPOE),1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1040 GREENACRES (HOME DEPOE)
66,1040 GREENACRES RD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1040 GREENACRES RD
67,"1040 GREENACRES RD, EUGENE",1.0,0.0,,0.0,0.0,0.0,0.0,0.0,"1040 GREENACRES RD, EUGENE"
68,1040 GREENACRES ROAD,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040 GREENACRES ROAD
69,1040 GREENACRES WALMART,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1040 GREENACRES WALMART
70,1040HUGHES,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1040HUGHES
71,1043 HAYES,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1043 HAYES
72,1043E.23RD,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1043E.23RD
73,1044 WILLAMETTE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1044 WILLAMETTE
74,1047 BENNETT LANE,3.0,136.666666667,75.0555349947,50.0,115.0,180.0,180.0,180.0,1047 BENNETT LANE
75,1055W.24TH,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,1055W.24TH
76,"1060 GREEN ACRES DR., EUGENE",1.0,380.0,,380.0,380.0,380.0,380.0,380.0,"1060 GREEN ACRES DR., EUGENE"
77,1065ALMADEN ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1065ALMADEN ST
78,1068W.2ND,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,1068W.2ND
79,1074MONROE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1074MONROE
80,1079W.5TH,2.0,105.0,106.066017178,30.0,67.5,105.0,142.5,180.0,1079W.5TH
81,1080CLARK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080CLARK
82,1081VAN BUREN ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1081VAN BUREN ST
83,10TH & TYLER NE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & TYLER NE
84,10TH - CHARNELTON TO OLIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH - CHARNELTON TO OLIVE
85,10TH - LAWRENCE TO LINCOLN,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH - LAWRENCE TO LINCOLN
86,10TH - LINCOLN TO LAWRENCE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH - LINCOLN TO LAWRENCE
87,10TH - OLIVE TO WILLAMETTE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH - OLIVE TO WILLAMETTE
88,10TH - WILLAMETTE TO OAK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10TH - WILLAMETTE TO OAK
89,10TH AVE - CHARN. TO OLIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH AVE - CHARN. TO OLIVE
90,10TH AVE - CHARN. TO OLIVE ST.,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & OLIVE
91,10TH AVE - CHARNELTON TO OLIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH AVE - CHARNELTON TO OLIVE
92,10TH AVE - LAWRENCE AND LINCO,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH AVE - LAWRENCE AND LINCO
93,10TH AVE - LAWRENCE TO LINCOLN,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH AVE - LAWRENCE TO LINCOLN
94,10TH AVE -CHARNELTON TO OLIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH AVE -CHARNELTON TO OLIVE
95,10TH AVE 15TH AVE 16TH A,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & 15TH
96,10TH AVE 8TH AVE BROADWA,1.0,24.0,,24.0,24.0,24.0,24.0,24.0,10TH & 8TH
97,10TH AVE CHARNELTON - OLIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH AVE CHARNELTON - OLIVE
98,10TH AVE CHARNELTON AND OLIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH AVE CHARNELTON AND OLIVE
99,10TH AVE CHARNELTON ST L,70.0,3.6,8.50984085071,0.0,0.0,0.0,0.0,24.0,10TH & CHARNELTON
100,10TH AVE HIGH ST PEARL S,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & HIGH
101,10TH AVE JACKSON ADAMS S,2.0,7.5,10.6066017178,0.0,3.75,7.5,11.25,15.0,10TH AVE JACKSON ADAMS S
102,10TH AVE JEFFERSON ST MA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & JEFFERSON
103,10TH AVE LAWRENCE ST LIN,86.0,4.46511627907,9.39423812698,0.0,0.0,0.0,0.0,24.0,10TH & LAWRENCE
104,10TH AVE LAWRENCE ST WAS,21.0,5.71428571429,10.4744587313,0.0,0.0,0.0,0.0,24.0,10TH & LAWRENCE
105,10TH AVE LINCOLN ST CHAR,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10TH & LINCOLN
106,10TH AVE LINCOLN ST LAWR,126.0,3.42857142857,8.43177663028,0.0,0.0,0.0,0.0,24.0,10TH & LINCOLN
107,10TH AVE LINCOLN-LAWRENCE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH AVE LINCOLN-LAWRENCE
108,10TH AVE MADISON JEFFERS,1.0,30.0,,30.0,30.0,30.0,30.0,30.0,10TH AVE MADISON JEFFERS
109,10TH AVE OAK ST BROADWAY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & OAK
110,10TH AVE OAK ST WILLAMET,84.0,6.52380952381,41.7763627727,0.0,0.0,0.0,0.0,380.0,10TH & OAK
111,10TH AVE OAK ST WLM,14.0,30.5714285714,100.944550114,0.0,0.0,0.0,0.0,380.0,10TH & OAK
112,10TH AVE OLIVE ST CHARNE,208.0,3.18269230769,8.4946865155,0.0,0.0,0.0,0.0,50.0,10TH & OLIVE
113,10TH AVE OLIVE ST WILLAM,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & OLIVE
114,10TH AVE PEARL ST HIGH S,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10TH & PEARL
115,10TH AVE PEARL ST OAK ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & PEARL
116,10TH AVE WASHINGTON ST J,5.0,3.0,6.7082039325,0.0,0.0,0.0,0.0,15.0,10TH & WASHINGTON
117,10TH AVE WASHINGTON ST L,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10TH & WASHINGTON
118,10TH AVE WILLAMETTE OLIV,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10TH AVE WILLAMETTE OLIV
119,10TH AVE WLM OLIVE ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10TH & OLIVE
120,11/BROADWAY HIL/PATTERSO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/BROADWAY HIL/PATTERSO
121,1100 BLK EMILL ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1100 BLK EMILL ST
122,1100 BLKVAN BUREN ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1100 BLKVAN BUREN ST
123,1100 BLOCK WEST 8TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1100 BLOCK WEST 8TH
124,1100 BLOCKARTHUR,2.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,1100 BLOCKARTHUR
125,1100 BLOCKE.23RD,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,1100 BLOCKE.23RD
126,1100 BLOCKW.5TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1100 BLOCKW.5TH
127,1100 REGENCY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1100 REGENCY
128,110CORLISS LN,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,110CORLISS LN
129,1125 W 8TH,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1125 W 8TH
130,1137 PEASGOD DRIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1137 PEASGOD DRIVE
131,1140ALMADEN ST,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,1140ALMADEN ST
132,1140GRANT,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,1140GRANT
133,1144POLK,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1144POLK
134,1145W.12TH,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,1145W.12TH
135,1147MILL ST,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147MILL ST
136,1155MADISON,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1155MADISON
137,1159MILL ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1159MILL ST
138,115CORLISS LN,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,115CORLISS LN
139,116 ALDER ST HILYARD ST,1.0,24.0,,24.0,24.0,24.0,24.0,24.0,ALDER & HILYARD
140,1160 CAL YOUNG,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1160 CAL YOUNG
141,1163 VALLEY RIVER WAY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1163 VALLEY RIVER WAY
142,1165 VALLEY RIVER WAY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1165 VALLEY RIVER WAY
143,1170 HWY 99N,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1170 HWY 99N
144,1175 HEATHMAN DRIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1175 HEATHMAN DRIVE
145,1178 LODGATE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1178 LODGATE
146,1185E. 22ND,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1185E. 22ND
147,1189 PEASCOD DRIVE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1189 PEASCOD DRIVE
148,1193W.5TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1193W.5TH
149,11TH  - MILL TO HIGH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH  - MILL TO HIGH
150,11TH - OAK TO WILLAMETTE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH - OAK TO WILLAMETTE
151,11TH - PEARL TO OAK,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH - PEARL TO OAK
152,11TH AND COMMERCE -TARGET,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH AND COMMERCE -TARGET
153,11TH AND JACKSON,2.0,15.0,21.2132034356,0.0,7.5,15.0,22.5,30.0,11TH AND JACKSON
154,11TH AVE - MILL AND HIGH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH AVE - MILL AND HIGH
155,11TH AVE - OAK TO WILLAMETTE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11TH AVE - OAK TO WILLAMETTE
156,11TH AVE - OLIVE ST TO CHARNEL,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH & OLIVE
157,11TH AVE 410,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH AVE 410
158,11TH AVE CHARNELTON ST O,60.0,1.8,5.7719367839,0.0,0.0,0.0,0.0,24.0,11TH & CHARNELTON
159,11TH AVE CHARNELTON TO OLIVE,1.0,24.0,,24.0,24.0,24.0,24.0,24.0,11TH AVE CHARNELTON TO OLIVE
160,11TH AVE HIGH ST MILL ST,69.0,3.47826086957,8.51056211535,0.0,0.0,0.0,0.0,24.0,11TH & HIGH
161,11TH AVE HIGH ST PEARL S,2.0,12.0,16.9705627485,0.0,6.0,12.0,18.0,24.0,11TH & HIGH
162,11TH AVE HILYARD ST ALDE,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH & HILYARD
163,11TH AVE LAWRENCE ST LIN,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11TH & LAWRENCE
164,11TH AVE LINCOLN ST CHAR,17.0,5.64705882353,10.4936955863,0.0,0.0,0.0,0.0,24.0,11TH & LINCOLN
165,11TH AVE MILL ST HIGH ST,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11TH & MILL
166,11TH AVE OAK PATCH RD PE,1.0,24.0,,24.0,24.0,24.0,24.0,24.0,11TH AVE OAK PATCH RD PE
167,11TH AVE OAK ST MILL ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH & OAK
168,11TH AVE OAK ST PEARL ST,242.0,5.70247933884,10.1479876615,0.0,0.0,0.0,0.0,24.0,11TH & OAK
169,11TH AVE OLIVE ST WIL69,2.0,12.0,16.9705627485,0.0,6.0,12.0,18.0,24.0,11TH & OLIVE
170,11TH AVE OLIVE ST WILLAM,63.0,1.90476190476,6.53949363166,0.0,0.0,0.0,0.0,24.0,11TH & OLIVE
171,11TH AVE OLIVE ST WLM,17.0,4.23529411765,9.43086297592,0.0,0.0,0.0,0.0,24.0,11TH & OLIVE
172,11TH AVE OLIVE TO WLM,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH AVE OLIVE TO WLM
173,11TH AVE PEARL ST HIGH S,23.0,2.08695652174,6.91449757248,0.0,0.0,0.0,0.0,24.0,11TH & PEARL
174,11TH AVE PEARL ST MILL S,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH & PEARL
175,11TH AVE WASHINGTON ST L,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH & WASHINGTON
176,11TH AVE WILLAMETTE OAK,171.0,6.04678362573,10.8094799709,0.0,0.0,0.0,0.0,50.0,11TH AVE WILLAMETTE OAK
177,11TH AVE WILLAMETTE PEAR,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH AVE WILLAMETTE PEAR
178,11TH AVE WLM OAK ST,51.0,3.05882352941,7.90294062917,0.0,0.0,0.0,0.0,24.0,11TH & OAK
179,1200 BLOCKADELMAN,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1200 BLOCKADELMAN
180,1200 BLOCKBRAMBLEWOOD,4.0,102.5,91.7877987534,0.0,37.5,115.0,180.0,180.0,1200 BLOCKBRAMBLEWOOD
181,1200 BLOCKE.27TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1200 BLOCKE.27TH
182,1200 BLOCKHAYES,2.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,1200 BLOCKHAYES
183,1200 BLOCKJACOBS DR,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1200 BLOCKJACOBS DR
184,1200 BLOCKLAURELHURST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1200 BLOCKLAURELHURST
185,1200 BLOCKVILLARD ST,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,1200 BLOCKVILLARD ST
186,1200 BLOCKW.26TH,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1200 BLOCKW.26TH
187,1200 EXECUTIVE PRKWY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1200 EXECUTIVE PRKWY
188,1206LAURELHURST,1.0,25.0,,25.0,25.0,25.0,25.0,25.0,1206LAURELHURST
189,1207W.5TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1207W.5TH
190,120819TH AVE E,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120819TH AVE E
191,1211 EAST 12TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1211 EAST 12TH
192,1230FERRY ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1230FERRY ST
193,1230TAYLOR,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1230TAYLOR
194,1232BRAMBLEWOOD,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1232BRAMBLEWOOD
195,1233W.8TH,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,1233W.8TH
196,1234BRAMBLEWOOD,2.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,1234BRAMBLEWOOD
197,1234BROWER,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1234BROWER
198,1238HAYES,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,1238HAYES
199,1243 HIGH ST.,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1243 HIGH ST.
200,1244WALNUT ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1244WALNUT ST
201,1247PIPER,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1247PIPER
202,1247VILLARD ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1247VILLARD ST
203,1250FERRY ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1250FERRY ST
204,1250HAYES,1.0,180.0,,180.0,180.0,180.0,180.0,180.0,1250HAYES
205,1250OCEAN ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1250OCEAN ST
206,1253FERRY ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1253FERRY ST
207,125N.POLK,3.0,60.0,17.3205080757,50.0,50.0,50.0,65.0,80.0,125N.POLK
208,1260INTERIOR ST,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1260INTERIOR ST
209,1261 WASHINGTON,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261 WASHINGTON
210,1262E. 19TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1262E. 19TH
211,1265 CRENSHAW,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1265 CRENSHAW
212,1270ACORN PARK,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1270ACORN PARK
213,1273 VAN BUREN,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1273 VAN BUREN
214,127COMMONS,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,127COMMONS
215,1280E.29TH PL,2.0,115.0,91.9238815543,50.0,82.5,115.0,147.5,180.0,1280E.29TH PL
216,1280WOODSIDE,1.0,50.0,,50.0,50.0,50.0,50.0,50.0,1280WOODSIDE
217,1287 OAK ST,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287 OAK ST
218,1287 OAK ST 13TH AVE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13TH & OAK
219,1287 OAK ST ALDER ST KIN,2.0,12.0,16.9705627485,0.0,6.0,12.0,18.0,24.0,ALDER & OAK
220,1287 OAK ST CHARNELTON S,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1287 OAK ST CHARNELTON S
221,1287 OAK ST HIGH ST PEAR,1.0,24.0,,24.0,24.0,24.0,24.0,24.0,HIGH & OAK
222,1287 OAK ST OAK ST PEARL,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,OAK & OAK
223,1287 OAK ST OLIVE ST CHA,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,OAK & OLIVE
224,1290 E 18TH,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1290 E 18TH
225,12TH & HILYARD,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,12TH & HILYARD
226,12TH - ALDER TO KINCAID,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,12TH - ALDER TO KINCAID
227,12TH - MILL TO FERRY,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12TH - MILL TO FERRY
228,12TH - OLIVE TO CHARNELTON,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,12TH - OLIVE TO CHARNELTON
229,12TH AVE 11TH AVE 13TH A,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,11TH & 12TH
230,12TH AVE 236,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,12TH AVE 236
231,12TH AVE @ HIGH ST,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,12TH & HIGH
232,12TH AVE @ PATTERSON,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12TH AVE @ PATTERSON
233,12TH AVE @ PEARL,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,12TH AVE @ PEARL
234,12TH AVE ADAMS ST KINCAI,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,12TH & ADAMS
