,address,count,mean,std,min,25%,50%,75%,max
158,11TH & OAK,395.0,4.95189873418,9.55376000023,0.0,0.0,0.0,0.0,24.0
483,15TH & VILLARD,386.0,2.86787564767,7.74835745611,0.0,0.0,0.0,0.0,24.0
1486,5TH & OAK,382.0,3.06282722513,7.9295606526,0.0,0.0,0.0,0.0,30.0
2566,LOT 36,376.0,2.84840425532,8.34271882822,0.0,0.0,0.0,0.0,30.0
1557,6TH & HIGH,373.0,3.71581769437,8.56441071227,0.0,0.0,0.0,0.0,30.0
3424,WEST PARK-7,368.0,3.86413043478,8.83842344211,0.0,0.0,0.0,0.0,30.0
1928,BROADWAY ST WILLAMETTE O,368.0,3.60326086957,8.5674238999,0.0,0.0,0.0,0.0,30.0
471,15TH & HILYARD,367.0,3.95095367847,9.08056189227,0.0,0.0,0.0,0.0,40.0
2489,LOT 07 - EUGENE AIRPORT,361.0,6.26038781163,29.6929435849,0.0,0.0,0.0,0.0,380.0
1921,BROADWAY ST CHARNELTON S,348.0,4.34482758621,9.20947712122,0.0,0.0,0.0,0.0,24.0
393,14TH & FERRY,346.0,3.68208092486,8.82963207692,0.0,0.0,0.0,0.0,50.0
1483,5TH & LAWRENCE,342.0,4.04970760234,8.9213170146,0.0,0.0,0.0,0.0,30.0
816,19TH & COLUMBIA,341.0,1.98826979472,6.60123720115,0.0,0.0,0.0,0.0,30.0
1487,5TH & OLIVE,333.0,4.0990990991,8.95667781598,0.0,0.0,0.0,0.0,30.0
570,16TH & PATTERSON,330.0,2.10909090909,6.6752896246,0.0,0.0,0.0,0.0,24.0
3459,WILLAMETTE 13TH AVE 11TH,329.0,3.79331306991,8.71813803277,0.0,0.0,0.0,0.0,24.0
469,15TH & FERRY,323.0,3.08359133127,8.15394258067,0.0,0.0,0.0,0.0,30.0
395,14TH & HILYARD,315.0,3.55873015873,9.00241713685,0.0,0.0,0.0,0.0,50.0
228,12TH & MILL,306.0,4.03921568627,9.04624356634,0.0,0.0,0.0,0.0,30.0
830,19TH & POTTER,304.0,1.89473684211,6.53718270253,0.0,0.0,0.0,0.0,30.0
1890,BROADWAY & HILYARD,304.0,2.11184210526,7.10881880809,0.0,0.0,0.0,0.0,30.0
740,18TH & POTTER,302.0,2.6821192053,8.96939859236,0.0,0.0,0.0,0.0,50.0
3450,WILLAMETTE 10TH AVE 11TH,299.0,2.6889632107,7.55073968077,0.0,0.0,0.0,0.0,24.0
1626,7TH & OAK,298.0,4.91946308725,9.64697875178,0.0,0.0,0.0,0.0,24.0
1694,8TH & PEARL,291.0,3.78694158076,8.63648842632,0.0,0.0,0.0,0.0,30.0
3482,WILLAMETTE 7TH AVE 8TH A,290.0,2.93793103448,7.78448522623,0.0,0.0,0.0,0.0,24.0
1560,6TH & OAK,282.0,3.06382978723,7.76360041027,0.0,0.0,0.0,0.0,24.0
221,12TH & FERRY,275.0,3.19636363636,8.33062163356,0.0,0.0,0.0,0.0,30.0
96,10TH & OLIVE,271.0,2.9741697417,8.1882524677,0.0,0.0,0.0,0.0,50.0
2483,LOT 07 - AIRPORT TERMINAL,262.0,3.43511450382,9.20361351378,0.0,0.0,0.0,0.0,30.0
2539,LOT 31,261.0,5.84674329502,25.144648439,0.0,0.0,0.0,0.0,380.0
3477,WILLAMETTE 5TH AVE 6TH A,257.0,3.5953307393,8.53254669561,0.0,0.0,0.0,0.0,30.0
826,19TH & ONYX,257.0,3.39688715953,8.47595807401,0.0,0.0,0.0,0.0,30.0
564,16TH & HILYARD,252.0,4.44841269841,9.92769263907,0.0,0.0,0.0,0.0,50.0
1489,5TH & PEARL,251.0,3.65737051793,8.55068040908,0.0,0.0,0.0,0.0,30.0
3479,WILLAMETTE 6TH AVE 5TH A,244.0,5.06557377049,9.87388600159,0.0,0.0,0.0,0.0,30.0
466,15TH & ALDER,243.0,4.69958847737,10.9625715522,0.0,0.0,0.0,0.0,50.0
738,18TH & ONYX,241.0,2.69709543568,8.13093064753,0.0,0.0,0.0,0.0,50.0
2508,LOT 10,239.0,1.65690376569,6.04738505499,0.0,0.0,0.0,0.0,24.0
2525,LOT 21,236.0,2.30084745763,7.46271293734,0.0,0.0,0.0,0.0,30.0
819,19TH & HARRIS,233.0,1.85407725322,6.42162249432,0.0,0.0,0.0,0.0,24.0
903,20TH & UNIVERSITY,230.0,1.85217391304,6.50393697131,0.0,0.0,0.0,0.0,30.0
560,16TH & ALDER,226.0,2.90265486726,8.94572732453,0.0,0.0,0.0,0.0,50.0
3491,WILLAMETTE END 5TH AVE,223.0,4.17040358744,9.0517841215,0.0,0.0,0.0,0.0,30.0
640,17TH & PATTERSON,222.0,3.18918918919,8.28400138687,0.0,0.0,0.0,0.0,30.0
630,17TH & FERRY,215.0,4.5488372093,9.49058490888,0.0,0.0,0.0,0.0,30.0
1690,8TH & LINCOLN,214.0,3.02803738318,7.90252582659,0.0,0.0,0.0,0.0,24.0
149,11TH & CHARNELTON,212.0,4.03773584906,8.62919603632,0.0,0.0,0.0,0.0,24.0
222,12TH & HIGH,208.0,3.67307692308,9.08408632187,0.0,0.0,0.0,0.0,50.0
562,16TH & FERRY,204.0,3.77450980392,9.09761714349,0.0,0.0,0.0,0.0,50.0
733,18TH & KINCAID,203.0,3.68965517241,8.9794728163,0.0,0.0,0.0,0.0,50.0
632,17TH & HILYARD,203.0,2.8078817734,7.74453093171,0.0,0.0,0.0,0.0,30.0
568,16TH & OAK,193.0,1.9896373057,6.5207917762,0.0,0.0,0.0,0.0,24.0
3478,WILLAMETTE 5TH AVE END,192.0,5.75520833333,10.5823855404,0.0,0.0,0.0,0.0,30.0
399,14TH & MILL,190.0,3.34736842105,8.26770144708,0.0,0.0,0.0,0.0,30.0
232,12TH & PATTERSON,189.0,2.06349206349,6.7031423622,0.0,0.0,0.0,0.0,30.0
3454,WILLAMETTE 11TH AVE 10TH,183.0,4.55737704918,9.99371987992,0.0,0.0,0.0,0.0,30.0
1689,8TH & LAWRENCE,182.0,2.50549450549,7.3587976834,0.0,0.0,0.0,0.0,24.0
262,1316 ALDER,182.0,9.67032967033,25.4658497119,0.0,0.0,0.0,0.0,80.0
93,10TH & LINCOLN,179.0,4.2905027933,9.22164462127,0.0,0.0,0.0,0.0,24.0
302,13TH & FERRY,179.0,4.18994413408,9.40879993883,0.0,0.0,0.0,0.0,30.0
160,11TH & PATTERSON,179.0,2.4469273743,7.70095784574,0.0,0.0,0.0,0.0,30.0
639,17TH & ORCHARD,171.0,2.38596491228,7.17287632674,0.0,0.0,0.0,0.0,30.0
3485,WILLAMETTE 8TH AVE 7TH A,171.0,4.6783625731,9.50334614182,0.0,0.0,0.0,0.0,30.0
173,11TH AVE WILLAMETTE OAK,171.0,6.04678362573,10.8094799709,0.0,0.0,0.0,0.0,50.0
310,13TH & MILL,169.0,4.52071005917,9.82531276456,0.0,0.0,0.0,0.0,50.0
1729,8TH AVE WILLAMETTE OAK S,169.0,4.23076923077,9.08688222502,0.0,0.0,0.0,0.0,24.0
1409,4TH & CHARNELTON,167.0,4.45508982036,9.35942704123,0.0,0.0,0.0,0.0,24.0
635,17TH & MILL,163.0,2.50306748466,7.35801757481,0.0,0.0,0.0,0.0,24.0
813,19TH & AGATE,158.0,4.20253164557,9.87614993299,0.0,0.0,0.0,0.0,50.0
899,20TH & KINCAID,157.0,3.13375796178,8.33673946395,0.0,0.0,0.0,0.0,30.0
220,12TH & CHARNELTON,155.0,2.2064516129,6.90632758446,0.0,0.0,0.0,0.0,30.0
1889,BROADWAY & HIGH,154.0,2.1038961039,6.59884009531,0.0,0.0,0.0,0.0,24.0
1892,BROADWAY & LAWRENCE,152.0,3.34210526316,8.41876275942,0.0,0.0,0.0,0.0,40.0
159,11TH & OLIVE,152.0,2.76315789474,7.83922624417,0.0,0.0,0.0,0.0,30.0
227,12TH & LINCOLN,150.0,2.84,7.79354404999,0.0,0.0,0.0,0.0,30.0
3486,WILLAMETTE 8TH AVE BROAD,149.0,3.62416107383,8.45135245059,0.0,0.0,0.0,0.0,24.0
92,10TH & LAWRENCE,148.0,5.10810810811,9.80707445274,0.0,0.0,0.0,0.0,24.0
1559,6TH & LINCOLN,147.0,5.07482993197,10.0825961781,0.0,0.0,0.0,0.0,50.0
476,15TH & MILL,147.0,4.61224489796,9.63046605481,0.0,0.0,0.0,0.0,30.0
730,18TH & HARRIS,145.0,4.28275862069,11.3649702108,0.0,0.0,0.0,0.0,50.0
394,14TH & HIGH,144.0,3.85416666667,8.81747212558,0.0,0.0,0.0,0.0,30.0
95,10TH & OAK,144.0,8.88888888889,45.6007470052,0.0,0.0,0.0,0.0,380.0
233,12TH & PEARL,142.0,2.70422535211,7.61557636009,0.0,0.0,0.0,0.0,24.0
3490,WILLAMETTE BROADWAY ST 8,138.0,2.4347826087,7.12654800368,0.0,0.0,0.0,0.0,24.0
1561,6TH & OLIVE,136.0,1.76470588235,6.11523330964,0.0,0.0,0.0,0.0,24.0
150,11TH & FERRY,136.0,3.26470588235,8.19325404004,0.0,0.0,0.0,0.0,24.0
147,11TH & ALDER,135.0,4.0,8.91753262173,0.0,0.0,0.0,0.0,24.0
146,11TH & 13TH,131.0,2.10687022901,6.73595622633,0.0,0.0,0.0,0.0,24.0
1835,ALLEY LOT 01,131.0,4.92366412214,11.076390915,0.0,0.0,0.0,0.0,30.0
1732,8TH AVE WILLAMETTE WEST,131.0,3.64885496183,8.39223419791,0.0,0.0,0.0,0.0,24.0
566,16TH & MILL,128.0,3.890625,8.89592879988,0.0,0.0,0.0,0.0,30.0
900,20TH & ONYX,127.0,3.02362204724,8.68081680647,0.0,0.0,0.0,0.0,30.0
418,15,123.0,2.53658536585,7.79690216218,0.0,0.0,0.0,0.0,30.0
1477,5TH & 6TH,119.0,2.6218487395,7.35422350305,0.0,0.0,0.0,0.0,24.0
822,19TH & KINCAID,117.0,2.58974358974,7.52484831575,0.0,0.0,0.0,0.0,30.0
817,19TH & EMERALD,117.0,3.61538461538,8.9093578795,0.0,0.0,0.0,0.0,30.0
1727,8TH AVE WEST PARK-8 OAK,116.0,5.1724137931,9.78399390493,0.0,0.0,0.0,0.0,24.0
631,17TH & HIGH,116.0,1.75,6.52869918464,0.0,0.0,0.0,0.0,35.0
642,17TH & VILLARD,113.0,2.86725663717,7.73616786915,0.0,0.0,0.0,0.0,24.0
3465,WILLAMETTE 15TH AVE 13TH,109.0,3.4128440367,8.3413417177,0.0,0.0,0.0,0.0,24.0
2301,GARDEN & WALNUT,109.0,1.63302752294,6.14735798483,0.0,0.0,0.0,0.0,30.0
2299,GARDEN & MOSS,106.0,2.94339622642,7.55529481783,0.0,0.0,0.0,0.0,24.0
161,11TH & PEARL,105.0,2.4,7.13819628154,0.0,0.0,0.0,0.0,24.0
2470,LOT 04,104.0,6.58653846154,38.5178336144,0.0,0.0,0.0,0.0,380.0
1618,7TH & 8TH,104.0,3.40384615385,8.26681191502,0.0,0.0,0.0,0.0,30.0
484,15TH & WALNUT,103.0,3.55339805825,9.06591132451,0.0,0.0,0.0,0.0,30.0
151,11TH & HIGH,103.0,3.02912621359,8.00913242306,0.0,0.0,0.0,0.0,24.0
824,19TH & MOSS,101.0,2.67326732673,7.70598327391,0.0,0.0,0.0,0.0,30.0
728,18TH & EMERALD,100.0,5.08,13.8976634909,0.0,0.0,0.0,0.0,50.0
309,13TH & LINCOLN,100.0,3.12,8.11194405575,0.0,0.0,0.0,0.0,24.0
583,16TH AVE WILLAMETTE OAK,99.0,3.45454545455,8.57532379025,0.0,0.0,0.0,0.0,30.0
1410,4TH & HIGH,98.0,3.91836734694,8.91618876254,0.0,0.0,0.0,0.0,24.0
1686,8TH & HIGH,97.0,3.71134020619,8.7225268258,0.0,0.0,0.0,0.0,24.0
902,20TH & POTTER,95.0,1.89473684211,6.79404257844,0.0,0.0,0.0,0.0,30.0
897,20TH & HARRIS,94.0,2.68085106383,7.85104987974,0.0,0.0,0.0,0.0,30.0
643,17TH & WALNUT,93.0,4.87096774194,9.96867463875,0.0,0.0,0.0,0.0,30.0
735,18TH & MILL,91.0,3.62637362637,8.98350136101,0.0,0.0,0.0,0.0,30.0
2550,LOT 34,91.0,1.67032967033,6.13379517293,0.0,0.0,0.0,0.0,30.0
404,14TH & PEARL,86.0,2.51162790698,7.15664099001,0.0,0.0,0.0,0.0,24.0
1625,7TH & LINCOLN,86.0,2.79069767442,7.51643889253,0.0,0.0,0.0,0.0,24.0
3451,WILLAMETTE 10TH AVE BROA,86.0,3.62790697674,8.64740220988,0.0,0.0,0.0,0.0,24.0
895,20TH & EMERALD,85.0,5.92941176471,10.5354144666,0.0,0.0,0.0,0.0,30.0
480,15TH & ORCHARD,84.0,4.28571428571,9.70476398796,0.0,0.0,0.0,0.0,30.0
2864,OVERPARK N,83.0,2.31325301205,7.12591921472,0.0,0.0,0.0,0.0,24.0
83,10TH & 11TH,82.0,2.92682926829,8.06880976705,0.0,0.0,0.0,0.0,30.0
312,13TH & OAK,82.0,4.75609756098,9.74053637027,0.0,0.0,0.0,0.0,30.0
1306,3RD & PEARL,81.0,3.25925925926,8.27311576399,0.0,0.0,0.0,0.0,24.0
401,14TH & OAK,81.0,4.74074074074,9.56788610114,0.0,0.0,0.0,0.0,30.0
3468,WILLAMETTE 16TH AVE 15TH,80.0,2.85,7.69530516087,0.0,0.0,0.0,0.0,24.0
1159,31,80.0,3.2625,8.84285272431,0.0,0.0,0.0,0.0,30.0
3523,nan,78.0,3.0,7.53692210423,0.0,0.0,0.0,0.0,30.0
478,15TH & OAK,77.0,4.85714285714,10.4600924391,0.0,0.0,0.0,0.0,50.0
563,16TH & HIGH,77.0,4.54545454545,10.2373740652,0.0,0.0,0.0,0.0,50.0
470,15TH & HIGH,76.0,5.61842105263,10.5917793346,0.0,0.0,0.0,0.0,30.0
398,14TH & LINCOLN,75.0,4.0,9.27070363813,0.0,0.0,0.0,0.0,30.0
156,11TH & MILL,74.0,3.16216216216,8.20295140174,0.0,0.0,0.0,0.0,30.0
2543,LOT 31 ALLEY,74.0,4.45945945946,9.42481305245,0.0,0.0,0.0,0.0,30.0
893,20TH & AGATE,74.0,4.21621621622,11.7674618372,0.0,0.0,0.0,0.0,50.0
936,21ST & ONYX,72.0,3.41666666667,8.59372519203,0.0,0.0,0.0,0.0,30.0
315,13TH & PEARL,69.0,4.17391304348,9.16347693089,0.0,0.0,0.0,0.0,24.0
935,21ST & KINCAID,68.0,1.76470588235,6.31065823626,0.0,0.0,0.0,0.0,24.0
230,12TH & OAK,66.0,4.54545454545,9.35814218608,0.0,0.0,0.0,0.0,24.0
3489,WILLAMETTE BROADWAY ST 1,65.0,2.03076923077,6.5621291104,0.0,0.0,0.0,0.0,24.0
1927,BROADWAY ST WASHINGTON S,65.0,6.73846153846,10.9975521752,0.0,0.0,0.0,24.0,30.0
313,13TH & OLIVE,65.0,1.47692307692,5.81245347376,0.0,0.0,0.0,0.0,24.0
392,14TH & CHARNELTON,64.0,4.125,9.12610071639,0.0,0.0,0.0,0.0,24.0
569,16TH & OLIVE,63.0,2.66666666667,7.60305541298,0.0,0.0,0.0,0.0,24.0
1484,5TH & LINCOLN,60.0,3.86666666667,10.990699715,0.0,0.0,0.0,0.0,50.0
729,18TH & FERRY,59.0,5.69491525424,10.2977303112,0.0,0.0,0.0,0.0,24.0
11,10,59.0,2.4406779661,7.31618702849,0.0,0.0,0.0,0.0,24.0
1682,8TH & BROADWAY,58.0,4.34482758621,9.18532720891,0.0,0.0,0.0,0.0,24.0
1412,4TH & LINCOLN,55.0,4.36363636364,9.34198732994,0.0,0.0,0.0,0.0,24.0
2526,LOT 21 ALLEY,55.0,3.27272727273,8.70388279778,0.0,0.0,0.0,0.0,30.0
1628,7TH & PEARL,54.0,3.81481481481,8.7071301818,0.0,0.0,0.0,0.0,24.0
482,15TH & PEARL,54.0,4.44444444444,9.41028475231,0.0,0.0,0.0,0.0,24.0
1684,8TH & FERRY,54.0,4.55555555556,9.88550810228,0.0,0.0,0.0,0.0,30.0
912,21,53.0,2.2641509434,7.08234789241,0.0,0.0,0.0,0.0,24.0
972,22ND & PATTERSON,52.0,2.53846153846,7.91241649824,0.0,0.0,0.0,0.0,30.0
1301,3RD & HIGH,51.0,4.70588235294,9.62350064716,0.0,0.0,0.0,0.0,24.0
300,13TH & CHARNELTON,49.0,3.67346938776,8.5571309325,0.0,0.0,0.0,0.0,24.0
1720,8TH AVE EAST PARK-8 PEAR,49.0,3.91836734694,8.96250693792,0.0,0.0,0.0,0.0,24.0
305,13TH & HIGH,49.0,1.95918367347,6.17103173327,0.0,0.0,0.0,0.0,24.0
1621,7TH & CHARNELTON,48.0,3.375,8.47681443578,0.0,0.0,0.0,0.0,30.0
939,21ST & UNIVERSITY,48.0,2.25,7.59198905902,0.0,0.0,0.0,0.0,30.0
898,20TH & HILYARD,48.0,3.125,8.39357657138,0.0,0.0,0.0,0.0,30.0
3408,WALNUT ST FRANKLIN BLVD,48.0,3.4375,9.40553537789,0.0,0.0,0.0,0.0,30.0
2524,LOT 16,47.0,2.55319148936,8.46170018541,0.0,0.0,0.0,0.0,30.0
1623,7TH & HIGH,46.0,4.17391304348,9.1973531164,0.0,0.0,0.0,0.0,24.0
3521,WLM END 5TH AVE,46.0,2.34782608696,6.98320967688,0.0,0.0,0.0,0.0,24.0
3460,WILLAMETTE 13TH AVE 14TH,45.0,2.13333333333,6.90717676834,0.0,0.0,0.0,0.0,24.0
3519,WLM 5TH AVE END,45.0,3.86666666667,9.41372305829,0.0,0.0,0.0,0.0,30.0
2501,LOT 07 AIRPORT TERMINAL,45.0,2.0,7.56787468664,0.0,0.0,0.0,0.0,30.0
2300,GARDEN & VILLARD,44.0,6.13636363636,10.1468082027,0.0,0.0,0.0,12.0,30.0
1627,7TH & OLIVE,44.0,3.27272727273,8.33140217229,0.0,0.0,0.0,0.0,24.0
479,15TH & OLIVE,44.0,7.5,11.7977136137,0.0,0.0,0.0,24.0,30.0
2502,LOT 07 EUGENE AIRPORT,44.0,4.43181818182,10.5221753151,0.0,0.0,0.0,0.0,30.0
932,21ST & HARRIS,44.0,3.27272727273,8.33140217229,0.0,0.0,0.0,0.0,24.0
464,15TH & 16TH,43.0,3.3488372093,8.41451048552,0.0,0.0,0.0,0.0,24.0
1556,6TH & FERRY,42.0,2.85714285714,7.86648162148,0.0,0.0,0.0,0.0,24.0
231,12TH & OLIVE,41.0,6.43902439024,10.765799507,0.0,0.0,0.0,24.0,24.0
2827,OAK ST SOUTH PARK-1E BRO,41.0,3.43902439024,8.09335771015,0.0,0.0,0.0,0.0,24.0
1414,4TH & PEARL,40.0,2.7,8.25926053684,0.0,0.0,0.0,0.0,30.0
2592,MARCHE CHASE @ KINSROW,40.0,11.625,19.8838776335,0.0,0.0,0.0,26.25,50.0
638,17TH & OLIVE,40.0,1.5,6.62164283589,0.0,0.0,0.0,0.0,30.0
3467,WILLAMETTE 15TH AVE 16TH,39.0,3.84615384615,9.18104013583,0.0,0.0,0.0,0.0,30.0
86,10TH & BROADWAY,38.0,4.73684210526,10.1706631917,0.0,0.0,0.0,0.0,30.0
155,11TH & LINCOLN,37.0,3.89189189189,8.96841303868,0.0,0.0,0.0,0.0,24.0
3470,WILLAMETTE 17TH AVE 16TH,37.0,2.10810810811,6.66576570489,0.0,0.0,0.0,0.0,30.0
402,14TH & OLIVE,36.0,6.33333333333,11.196938357,0.0,0.0,0.0,6.0,30.0
825,19TH & OLIVE,36.0,2.66666666667,7.64946309974,0.0,0.0,0.0,0.0,24.0
1136,2ND & PEARL,36.0,4.66666666667,9.63327566303,0.0,0.0,0.0,0.0,24.0
818,19TH & FERRY,36.0,2.66666666667,7.64946309974,0.0,0.0,0.0,0.0,24.0
417,14TH AVE WILLAMETTE OAK,35.0,3.25714285714,8.14696932876,0.0,0.0,0.0,0.0,24.0
1562,6TH & PEARL,35.0,1.37142857143,5.65209859144,0.0,0.0,0.0,0.0,24.0
89,10TH & HIGH,34.0,3.52941176471,8.62777507089,0.0,0.0,0.0,0.0,24.0
974,22ND & UNIVERSITY,34.0,5.35294117647,12.3751519193,0.0,0.0,0.0,0.0,50.0
3476,WILLAMETTE 5TH AVE 4TH A,33.0,5.63636363636,11.1181669516,0.0,0.0,0.0,0.0,30.0
2471,LOT 05,33.0,3.63636363636,9.94301947919,0.0,0.0,0.0,0.0,30.0
1836,ALLEY LOT 02,33.0,8.90909090909,13.7576425042,0.0,0.0,0.0,30.0,30.0
1246,36,33.0,3.27272727273,9.01135647139,0.0,0.0,0.0,0.0,30.0
931,21ST & EMERALD,32.0,0.75,4.24264068712,0.0,0.0,0.0,0.0,24.0
2867,OVERPARK S,32.0,1.875,6.17878785482,0.0,0.0,0.0,0.0,24.0
1979,COMMONS / KINSROW,32.0,9.84375,14.0554417771,0.0,0.0,0.0,30.0,30.0
739,18TH & PATTERSON,32.0,3.375,8.19815085366,0.0,0.0,0.0,0.0,24.0
3250,W/S KINCAID - 14TH TO 15TH,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,1316 ALDER 7-11 STORE,31.0,12.9032258065,29.9102600442,0.0,0.0,0.0,0.0,80.0
833,19TH & VILLARD,31.0,3.29032258065,8.74144743311,0.0,0.0,0.0,0.0,30.0
894,20TH & ALDER,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3473,WILLAMETTE 4TH AVE 5TH A,30.0,5.6,10.3243936116,0.0,0.0,0.0,0.0,24.0
823,19TH & MILL,30.0,1.6,6.08899516086,0.0,0.0,0.0,0.0,24.0
154,11TH & LAWRENCE,30.0,1.0,5.47722557505,0.0,0.0,0.0,0.0,30.0
1837,ALLEY LOT 03,29.0,12.3448275862,21.5742502966,0.0,0.0,0.0,30.0,100.0
2580,MARCHE CHASE,29.0,15.5172413793,18.4364171637,0.0,0.0,0.0,30.0,50.0
2114,E/S KINCAID - END TO 13TH,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1938,CENTENNIAL LP,28.0,4.28571428571,10.6904496765,0.0,0.0,0.0,0.0,30.0
938,21ST & POTTER,27.0,2.0,7.25364629792,0.0,0.0,0.0,0.0,30.0
571,16TH & PEARL,27.0,6.44444444444,11.1539345708,0.0,0.0,0.0,12.0,30.0
929,21ST & AGATE,26.0,4.84615384615,10.1850569274,0.0,0.0,0.0,0.0,30.0
1848,ALLEYLOT1,25.0,1.2,4.15331193146,0.0,0.0,0.0,0.0,15.0
1133,2ND & HIGH,25.0,2.16,7.52595508889,0.0,0.0,0.0,0.0,30.0
821,19TH & HILYARD,25.0,6.12,11.439405579,0.0,0.0,0.0,0.0,30.0
2957,S/S 12TH - ALDER TO KINCAID,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1408,4TH & ADAMS,24.0,6.25,12.44553351,0.0,0.0,0.0,0.0,30.0
628,17TH & CHARNELTON,24.0,2.5,8.4698955386,0.0,0.0,0.0,0.0,30.0
1624,7TH & LAWRENCE,24.0,5.25,10.5139658674,0.0,0.0,0.0,0.0,30.0
737,18TH & OLIVE,24.0,1.25,6.12372435696,0.0,0.0,0.0,0.0,30.0
1309,4,24.0,3.75,10.1349588704,0.0,0.0,0.0,0.0,30.0
3472,WILLAMETTE 19TH AVE 18TH,24.0,1.0,4.89897948557,0.0,0.0,0.0,0.0,24.0
295,13TH & 15TH,23.0,3.13043478261,8.2644053178,0.0,0.0,0.0,0.0,24.0
